2025-08-24 13:19:26,235 - INFO - Step 4, Epoch 1: Retain=52.91, New=0.11, Forget=0.00, Combined=42.55, Balanced=26.51, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:20:05,742 - INFO - Step 4, Epoch 2: Retain=57.24, New=1.12, Forget=0.00, Combined=46.22, Balanced=29.18, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:20:47,059 - INFO - Step 4, Epoch 3: Retain=58.39, New=2.13, Forget=0.00, Combined=47.34, Balanced=30.26, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:21:29,660 - INFO - Step 4, Epoch 4: Retain=59.45, New=0.90, Forget=0.00, Combined=47.96, Balanced=30.17, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:22:18,292 - INFO - Step 4, Epoch 5: Retain=60.41, New=0.56, Forget=0.00, Combined=48.66, Balanced=30.49, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:23:10,698 - INFO - Step 4, Epoch 6: Retain=61.45, New=2.24, Forget=0.00, Combined=49.82, Balanced=31.84, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:24:05,842 - INFO - Step 4, Epoch 7: Retain=60.33, New=2.35, Forget=0.00, Combined=48.94, Balanced=31.34, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:25:02,517 - INFO - Step 4, Epoch 8: Retain=60.60, New=5.60, Forget=0.00, Combined=49.80, Balanced=33.10, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:26:00,515 - INFO - Step 4, Epoch 9: Retain=60.71, New=2.46, Forget=0.00, Combined=49.27, Balanced=31.59, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:26:59,441 - INFO - Step 4, Epoch 10: Retain=61.40, New=7.73, Forget=0.00, Combined=50.86, Balanced=34.56, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:27:58,705 - INFO - Step 4, Epoch 11: Retain=59.62, New=5.60, Forget=0.00, Combined=49.01, Balanced=32.61, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:28:58,991 - INFO - Step 4, Epoch 12: Retain=61.15, New=7.28, Forget=0.00, Combined=50.57, Balanced=34.21, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:29:58,402 - INFO - Step 4, Epoch 13: Retain=61.81, New=8.62, Forget=0.00, Combined=51.36, Balanced=35.21, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:30:58,444 - INFO - Step 4, Epoch 14: Retain=62.08, New=7.28, Forget=0.00, Combined=51.32, Balanced=34.68, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:31:58,963 - INFO - Step 4, Epoch 15: Retain=63.01, New=11.09, Forget=0.00, Combined=52.81, Balanced=37.05, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:32:59,260 - INFO - Step 4, Epoch 16: Retain=60.05, New=13.66, Forget=0.00, Combined=50.95, Balanced=36.86, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:33:59,365 - INFO - Step 4, Epoch 17: Retain=61.23, New=12.21, Forget=0.00, Combined=51.61, Balanced=36.72, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:34:59,345 - INFO - Step 4, Epoch 18: Retain=60.30, New=16.24, Forget=0.00, Combined=51.65, Balanced=38.27, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:35:59,727 - INFO - Step 4, Epoch 19: Retain=59.95, New=13.66, Forget=0.00, Combined=50.86, Balanced=36.80, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:37:00,045 - INFO - Step 4, Epoch 20: Retain=60.52, New=18.81, Forget=0.00, Combined=52.33, Balanced=39.67, Zero_Ratio=0.000, Phase=Retention
2025-08-24 13:38:00,610 - INFO - Step 4, Epoch 21: Retain=61.12, New=20.60, Forget=0.00, Combined=53.17, Balanced=40.86, Zero_Ratio=0.000, Phase=Retention
