2025-08-24 10:49:58,548 - INFO - Step 3, Epoch 1: Retain=58.38, New=0.00, Forget=0.00, Combined=45.98, Balanced=29.19, Zero_Ratio=0.000, Phase=Retention
2025-08-24 10:50:40,869 - INFO - Step 3, Epoch 2: Retain=57.56, New=0.10, Forget=0.00, Combined=45.36, Balanced=28.83, Zero_Ratio=0.000, Phase=Retention
2025-08-24 10:51:25,848 - INFO - Step 3, Epoch 3: Retain=60.06, New=0.83, Forget=0.00, Combined=47.48, Balanced=30.45, Zero_Ratio=0.000, Phase=Retention
2025-08-24 10:52:17,476 - INFO - Step 3, Epoch 4: Retain=62.76, New=2.08, Forget=0.00, Combined=49.87, Balanced=32.42, Zero_Ratio=0.000, Phase=Retention
2025-08-24 10:53:17,128 - INFO - Step 3, Epoch 5: Retain=62.14, New=0.62, Forget=0.00, Combined=49.07, Balanced=31.38, Zero_Ratio=0.000, Phase=Retention
2025-08-24 10:54:22,239 - INFO - Step 3, Epoch 6: Retain=63.26, New=3.85, Forget=0.00, Combined=50.64, Balanced=33.56, Zero_Ratio=0.000, Phase=Retention
2025-08-24 10:55:30,950 - INFO - Step 3, Epoch 7: Retain=62.19, New=3.33, Forget=0.00, Combined=49.69, Balanced=32.76, Zero_Ratio=0.000, Phase=Retention
2025-08-24 10:56:41,569 - INFO - Step 3, Epoch 8: Retain=63.68, New=4.89, Forget=0.00, Combined=51.19, Balanced=34.29, Zero_Ratio=0.000, Phase=Retention
2025-08-24 10:57:53,658 - INFO - Step 3, Epoch 9: Retain=63.46, New=7.08, Forget=0.00, Combined=51.48, Balanced=35.27, Zero_Ratio=0.000, Phase=Retention
2025-08-24 10:59:03,470 - INFO - Step 3, Epoch 10: Retain=62.70, New=4.68, Forget=0.00, Combined=50.38, Balanced=33.69, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:00:12,656 - INFO - Step 3, Epoch 11: Retain=63.26, New=7.28, Forget=0.00, Combined=51.37, Balanced=35.27, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:01:20,138 - INFO - Step 3, Epoch 12: Retain=62.53, New=6.87, Forget=0.00, Combined=50.71, Balanced=34.70, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:02:26,485 - INFO - Step 3, Epoch 13: Retain=63.68, New=10.51, Forget=0.00, Combined=52.39, Balanced=37.10, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:03:32,164 - INFO - Step 3, Epoch 14: Retain=61.04, New=13.32, Forget=0.00, Combined=50.91, Balanced=37.18, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:04:37,314 - INFO - Step 3, Epoch 15: Retain=62.28, New=15.71, Forget=0.00, Combined=52.39, Balanced=39.00, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:05:41,968 - INFO - Step 3, Epoch 16: Retain=61.66, New=13.11, Forget=0.00, Combined=51.35, Balanced=37.39, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:06:45,030 - INFO - Step 3, Epoch 17: Retain=62.92, New=19.25, Forget=0.00, Combined=53.65, Balanced=41.09, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:07:49,030 - INFO - Step 3, Epoch 18: Retain=62.11, New=20.40, Forget=0.00, Combined=53.25, Balanced=41.25, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:08:53,323 - INFO - Step 3, Epoch 19: Retain=61.94, New=21.85, Forget=0.00, Combined=53.43, Balanced=41.90, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:09:57,022 - INFO - Step 3, Epoch 20: Retain=62.87, New=27.37, Forget=0.00, Combined=55.33, Balanced=45.12, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:11:00,200 - INFO - Step 3, Epoch 21: Retain=63.18, New=25.08, Forget=0.00, Combined=55.08, Balanced=44.13, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:12:03,613 - INFO - Step 3, Epoch 22: Retain=61.27, New=29.03, Forget=0.00, Combined=54.42, Balanced=45.15, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:13:06,982 - INFO - Step 3, Epoch 23: Retain=62.22, New=32.15, Forget=0.00, Combined=55.84, Balanced=47.19, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:14:09,405 - INFO - Step 3, Epoch 24: Retain=60.76, New=26.64, Forget=0.00, Combined=53.51, Balanced=43.70, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:15:12,908 - INFO - Step 3, Epoch 25: Retain=61.27, New=28.62, Forget=0.00, Combined=54.33, Balanced=44.94, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:16:15,415 - INFO - Step 3, Epoch 26: Retain=61.61, New=30.91, Forget=0.00, Combined=55.08, Balanced=46.26, Zero_Ratio=0.000, Phase=Retention
2025-08-24 11:17:18,674 - INFO - Step 3, Epoch 27: Retain=60.12, New=31.63, Forget=0.00, Combined=54.07, Balanced=45.88, Zero_Ratio=0.000, Phase=Retention
