2025-08-24 08:11:01,358 - INFO - Step 2, Epoch 1: Retain=61.21, New=0.00, Forget=0.00, Combined=49.63, Balanced=30.60, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:11:46,139 - INFO - Step 2, Epoch 2: Retain=64.86, New=0.12, Forget=0.00, Combined=52.61, Balanced=32.49, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:12:37,664 - INFO - Step 2, Epoch 3: Retain=65.16, New=0.00, Forget=0.00, Combined=52.84, Balanced=32.58, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:13:35,012 - INFO - Step 2, Epoch 4: Retain=66.08, New=0.59, Forget=0.00, Combined=53.69, Balanced=33.33, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:14:35,074 - INFO - Step 2, Epoch 5: Retain=66.57, New=0.12, Forget=0.00, Combined=54.00, Balanced=33.35, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:15:41,082 - INFO - Step 2, Epoch 6: Retain=67.04, New=2.14, Forget=0.00, Combined=54.77, Balanced=34.59, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:16:49,895 - INFO - Step 2, Epoch 7: Retain=66.35, New=0.47, Forget=0.00, Combined=53.89, Balanced=33.41, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:18:03,073 - INFO - Step 2, Epoch 8: Retain=66.96, New=2.14, Forget=0.00, Combined=54.70, Balanced=34.55, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:19:20,035 - INFO - Step 2, Epoch 9: Retain=67.04, New=2.02, Forget=0.00, Combined=54.75, Balanced=34.53, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:21:13,562 - INFO - Step 2, Epoch 10: Retain=67.68, New=3.91, Forget=0.00, Combined=55.62, Balanced=35.80, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:22:10,769 - INFO - Step 2, Epoch 11: Retain=66.96, New=3.91, Forget=0.00, Combined=55.04, Balanced=35.44, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:23:18,057 - INFO - Step 2, Epoch 12: Retain=67.52, New=6.64, Forget=0.00, Combined=56.00, Balanced=37.08, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:24:25,282 - INFO - Step 2, Epoch 13: Retain=67.60, New=7.00, Forget=0.00, Combined=56.14, Balanced=37.30, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:25:27,966 - INFO - Step 2, Epoch 14: Retain=67.21, New=7.00, Forget=0.00, Combined=55.82, Balanced=37.10, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:26:29,236 - INFO - Step 2, Epoch 15: Retain=68.15, New=9.73, Forget=0.00, Combined=57.10, Balanced=38.94, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:27:30,067 - INFO - Step 2, Epoch 16: Retain=67.16, New=11.03, Forget=0.00, Combined=56.54, Balanced=39.09, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:28:29,753 - INFO - Step 2, Epoch 17: Retain=66.60, New=13.17, Forget=0.00, Combined=56.50, Balanced=39.88, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:29:28,030 - INFO - Step 2, Epoch 18: Retain=66.33, New=14.12, Forget=0.00, Combined=56.45, Balanced=40.22, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:30:26,536 - INFO - Step 2, Epoch 19: Retain=65.61, New=13.88, Forget=0.00, Combined=55.82, Balanced=39.74, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:31:23,999 - INFO - Step 2, Epoch 20: Retain=66.74, New=15.90, Forget=0.00, Combined=57.12, Balanced=41.32, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:32:21,602 - INFO - Step 2, Epoch 21: Retain=67.63, New=16.25, Forget=0.00, Combined=57.91, Balanced=41.94, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:33:18,504 - INFO - Step 2, Epoch 22: Retain=65.86, New=20.40, Forget=0.00, Combined=57.26, Balanced=43.13, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:34:15,335 - INFO - Step 2, Epoch 23: Retain=67.49, New=19.34, Forget=0.00, Combined=58.38, Balanced=43.41, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:35:12,162 - INFO - Step 2, Epoch 24: Retain=66.63, New=17.91, Forget=0.00, Combined=57.42, Balanced=42.27, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:36:09,581 - INFO - Step 2, Epoch 25: Retain=66.41, New=20.05, Forget=0.00, Combined=57.64, Balanced=43.23, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:37:06,704 - INFO - Step 2, Epoch 26: Retain=65.02, New=25.15, Forget=0.00, Combined=57.48, Balanced=45.09, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:38:02,962 - INFO - Step 2, Epoch 27: Retain=66.21, New=17.32, Forget=0.00, Combined=56.97, Balanced=41.77, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:38:59,283 - INFO - Step 2, Epoch 28: Retain=65.44, New=23.13, Forget=0.00, Combined=57.44, Balanced=44.29, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:39:55,429 - INFO - Step 2, Epoch 29: Retain=67.32, New=22.89, Forget=0.00, Combined=58.92, Balanced=45.11, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:40:51,543 - INFO - Step 2, Epoch 30: Retain=66.08, New=24.67, Forget=0.00, Combined=58.25, Balanced=45.38, Zero_Ratio=0.000, Phase=Retention
2025-08-24 08:41:48,627 - INFO - Step 2, Epoch 31: Retain=64.97, New=26.45, Forget=0.00, Combined=57.68, Balanced=45.71, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:42:44,441 - INFO - Step 2, Epoch 32: Retain=65.97, New=30.96, Forget=0.00, Combined=59.34, Balanced=48.46, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:43:40,750 - INFO - Step 2, Epoch 33: Retain=64.83, New=29.66, Forget=0.00, Combined=58.18, Balanced=47.24, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:44:37,194 - INFO - Step 2, Epoch 34: Retain=65.52, New=24.91, Forget=0.00, Combined=57.84, Balanced=45.22, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:45:33,277 - INFO - Step 2, Epoch 35: Retain=65.19, New=34.99, Forget=0.00, Combined=59.48, Balanced=50.09, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:46:29,518 - INFO - Step 2, Epoch 36: Retain=64.47, New=33.93, Forget=0.00, Combined=58.69, Balanced=49.20, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:47:25,557 - INFO - Step 2, Epoch 37: Retain=63.48, New=34.40, Forget=0.00, Combined=57.98, Balanced=48.94, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:48:21,761 - INFO - Step 2, Epoch 38: Retain=64.08, New=35.82, Forget=0.00, Combined=58.74, Balanced=49.95, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:49:18,439 - INFO - Step 2, Epoch 39: Retain=64.53, New=33.10, Forget=0.00, Combined=58.58, Balanced=48.81, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:50:15,250 - INFO - Step 2, Epoch 40: Retain=63.97, New=33.57, Forget=0.00, Combined=58.22, Balanced=48.77, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:51:11,449 - INFO - Step 2, Epoch 41: Retain=63.78, New=39.15, Forget=0.00, Combined=59.12, Balanced=51.46, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:52:07,279 - INFO - Step 2, Epoch 42: Retain=63.97, New=36.42, Forget=0.00, Combined=58.76, Balanced=50.20, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:53:03,314 - INFO - Step 2, Epoch 43: Retain=63.72, New=40.69, Forget=0.00, Combined=59.37, Balanced=52.21, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:54:00,025 - INFO - Step 2, Epoch 44: Retain=62.29, New=40.81, Forget=0.00, Combined=58.22, Balanced=51.55, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:54:55,768 - INFO - Step 2, Epoch 45: Retain=63.20, New=36.77, Forget=0.00, Combined=58.20, Balanced=49.99, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:55:51,139 - INFO - Step 2, Epoch 46: Retain=63.42, New=45.20, Forget=0.00, Combined=59.97, Balanced=54.31, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:56:47,836 - INFO - Step 2, Epoch 47: Retain=62.45, New=45.55, Forget=0.00, Combined=59.26, Balanced=54.00, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:57:43,814 - INFO - Step 2, Epoch 48: Retain=62.87, New=44.25, Forget=0.00, Combined=59.34, Balanced=53.56, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:58:40,313 - INFO - Step 2, Epoch 49: Retain=61.65, New=43.89, Forget=0.00, Combined=58.29, Balanced=52.77, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 08:59:36,152 - INFO - Step 2, Epoch 50: Retain=62.59, New=39.74, Forget=0.00, Combined=58.27, Balanced=51.16, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:00:32,357 - INFO - Step 2, Epoch 51: Retain=62.37, New=45.31, Forget=0.00, Combined=59.14, Balanced=53.84, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:01:28,963 - INFO - Step 2, Epoch 52: Retain=61.32, New=43.77, Forget=0.00, Combined=58.00, Balanced=52.54, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:02:25,761 - INFO - Step 2, Epoch 53: Retain=61.07, New=47.21, Forget=0.00, Combined=58.45, Balanced=54.14, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:03:21,017 - INFO - Step 2, Epoch 54: Retain=60.74, New=46.03, Forget=0.00, Combined=57.95, Balanced=53.38, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:04:17,754 - INFO - Step 2, Epoch 55: Retain=62.06, New=47.69, Forget=0.00, Combined=59.34, Balanced=54.88, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:05:13,982 - INFO - Step 2, Epoch 56: Retain=60.90, New=46.38, Forget=0.00, Combined=58.16, Balanced=53.64, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:06:09,980 - INFO - Step 2, Epoch 57: Retain=61.10, New=50.06, Forget=0.00, Combined=59.01, Balanced=55.58, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:07:05,933 - INFO - Step 2, Epoch 58: Retain=61.32, New=51.72, Forget=0.00, Combined=59.50, Balanced=56.52, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:08:02,394 - INFO - Step 2, Epoch 59: Retain=60.38, New=54.21, Forget=0.00, Combined=59.21, Balanced=57.29, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:08:58,470 - INFO - Step 2, Epoch 60: Retain=60.24, New=54.09, Forget=0.00, Combined=59.08, Balanced=57.17, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:09:54,674 - INFO - Step 2, Epoch 61: Retain=61.01, New=53.14, Forget=0.00, Combined=59.52, Balanced=57.08, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:10:51,701 - INFO - Step 2, Epoch 62: Retain=61.76, New=51.72, Forget=0.00, Combined=59.86, Balanced=56.74, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:11:48,016 - INFO - Step 2, Epoch 63: Retain=60.90, New=55.87, Forget=0.00, Combined=59.95, Balanced=58.39, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:12:43,466 - INFO - Step 2, Epoch 64: Retain=60.79, New=52.79, Forget=0.00, Combined=59.28, Balanced=56.79, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:13:40,407 - INFO - Step 2, Epoch 65: Retain=58.49, New=55.16, Forget=0.00, Combined=57.86, Balanced=56.83, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:14:36,917 - INFO - Step 2, Epoch 66: Retain=61.59, New=56.23, Forget=0.00, Combined=60.58, Balanced=58.91, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:15:32,975 - INFO - Step 2, Epoch 67: Retain=60.04, New=57.53, Forget=0.00, Combined=59.57, Balanced=58.79, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:16:28,632 - INFO - Step 2, Epoch 68: Retain=60.49, New=56.58, Forget=0.00, Combined=59.75, Balanced=58.54, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:17:24,986 - INFO - Step 2, Epoch 69: Retain=58.99, New=58.96, Forget=0.00, Combined=58.99, Balanced=58.97, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:18:20,947 - INFO - Step 2, Epoch 70: Retain=60.07, New=55.99, Forget=0.00, Combined=59.30, Balanced=58.03, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:19:17,206 - INFO - Step 2, Epoch 71: Retain=59.77, New=58.60, Forget=0.00, Combined=59.55, Balanced=59.18, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:20:14,534 - INFO - Step 2, Epoch 72: Retain=59.91, New=60.14, Forget=0.00, Combined=59.95, Balanced=60.02, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:21:10,472 - INFO - Step 2, Epoch 73: Retain=60.38, New=58.84, Forget=0.00, Combined=60.09, Balanced=59.61, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:22:13,501 - INFO - Step 2, Epoch 74: Retain=58.85, New=57.30, Forget=0.00, Combined=58.56, Balanced=58.07, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:23:08,537 - INFO - Step 2, Epoch 75: Retain=60.99, New=56.47, Forget=0.00, Combined=60.13, Balanced=58.73, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:24:03,896 - INFO - Step 2, Epoch 76: Retain=59.96, New=58.60, Forget=0.00, Combined=59.70, Balanced=59.28, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:25:00,096 - INFO - Step 2, Epoch 77: Retain=60.85, New=59.91, Forget=0.00, Combined=60.67, Balanced=60.38, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:25:56,077 - INFO - Step 2, Epoch 78: Retain=57.72, New=60.26, Forget=0.00, Combined=58.20, Balanced=58.99, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:26:52,179 - INFO - Step 2, Epoch 79: Retain=58.30, New=60.85, Forget=0.00, Combined=58.78, Balanced=59.58, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:27:48,619 - INFO - Step 2, Epoch 80: Retain=58.27, New=62.16, Forget=0.00, Combined=59.01, Balanced=60.22, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:28:45,108 - INFO - Step 2, Epoch 81: Retain=56.42, New=63.23, Forget=0.00, Combined=57.71, Balanced=59.82, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:29:41,439 - INFO - Step 2, Epoch 82: Retain=59.08, New=62.51, Forget=0.00, Combined=59.73, Balanced=60.80, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:30:38,095 - INFO - Step 2, Epoch 83: Retain=56.23, New=65.95, Forget=0.00, Combined=58.07, Balanced=61.09, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:31:33,698 - INFO - Step 2, Epoch 84: Retain=59.19, New=62.28, Forget=0.00, Combined=59.77, Balanced=60.73, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:32:30,079 - INFO - Step 2, Epoch 85: Retain=60.18, New=64.77, Forget=0.00, Combined=61.05, Balanced=62.48, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:33:26,510 - INFO - Step 2, Epoch 86: Retain=55.06, New=60.14, Forget=0.00, Combined=56.02, Balanced=57.60, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:34:21,987 - INFO - Step 2, Epoch 87: Retain=59.46, New=62.75, Forget=0.00, Combined=60.09, Balanced=61.11, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:35:18,821 - INFO - Step 2, Epoch 88: Retain=56.89, New=63.70, Forget=0.00, Combined=58.18, Balanced=60.30, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 09:36:15,325 - INFO - Step 2, Epoch 89: Retain=58.69, New=66.19, Forget=0.00, Combined=60.11, Balanced=62.44, Zero_Ratio=0.000, Phase=Balanced
