2025-08-25 10:41:18,713 - INFO - Step 5, Epoch 1: Retain=53.12, New=77.84, Forget=0.00, Combined=54.39, Balanced=65.48, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:41:52,414 - INFO - Step 5, Epoch 2: Retain=53.60, New=74.23, Forget=0.00, Combined=54.66, Balanced=63.91, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:42:33,499 - INFO - Step 5, Epoch 3: Retain=54.38, New=76.80, Forget=0.00, Combined=55.53, Balanced=65.59, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:43:16,785 - INFO - Step 5, Epoch 4: Retain=54.55, New=82.99, Forget=0.00, Combined=56.01, Balanced=68.77, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:44:00,826 - INFO - Step 5, Epoch 5: Retain=55.16, New=78.87, Forget=0.00, Combined=56.38, Balanced=67.01, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:44:48,277 - INFO - Step 5, Epoch 6: Retain=56.93, New=83.51, Forget=0.00, Combined=58.30, Balanced=70.22, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:45:33,486 - INFO - Step 5, Epoch 7: Retain=57.29, New=83.51, Forget=0.00, Combined=58.64, Balanced=70.40, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:46:20,321 - INFO - Step 5, Epoch 8: Retain=58.52, New=84.54, Forget=0.00, Combined=59.86, Balanced=71.53, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:47:11,832 - INFO - Step 5, Epoch 9: Retain=56.17, New=80.93, Forget=0.00, Combined=57.45, Balanced=68.55, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:48:07,653 - INFO - Step 5, Epoch 10: Retain=57.57, New=86.08, Forget=0.00, Combined=59.04, Balanced=71.83, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:49:06,127 - INFO - Step 5, Epoch 11: Retain=58.52, New=85.57, Forget=0.00, Combined=59.92, Balanced=72.04, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:50:06,445 - INFO - Step 5, Epoch 12: Retain=55.78, New=83.51, Forget=0.00, Combined=57.21, Balanced=69.64, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:51:10,163 - INFO - Step 5, Epoch 13: Retain=56.14, New=86.08, Forget=0.00, Combined=57.69, Balanced=71.11, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:52:17,415 - INFO - Step 5, Epoch 14: Retain=58.35, New=86.08, Forget=0.00, Combined=59.78, Balanced=72.22, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:53:26,003 - INFO - Step 5, Epoch 15: Retain=56.51, New=87.63, Forget=0.00, Combined=58.11, Balanced=72.07, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:54:37,392 - INFO - Step 5, Epoch 16: Retain=57.79, New=87.11, Forget=0.00, Combined=59.30, Balanced=72.45, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:55:52,151 - INFO - Step 5, Epoch 17: Retain=58.69, New=89.69, Forget=0.00, Combined=60.29, Balanced=74.19, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:57:07,068 - INFO - Step 5, Epoch 18: Retain=57.71, New=86.08, Forget=0.00, Combined=59.17, Balanced=71.90, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:58:25,580 - INFO - Step 5, Epoch 19: Retain=57.63, New=87.63, Forget=0.00, Combined=59.17, Balanced=72.63, Zero_Ratio=0.000, Phase=Retention
2025-08-25 10:59:44,563 - INFO - Step 5, Epoch 20: Retain=57.77, New=88.66, Forget=0.00, Combined=59.36, Balanced=73.21, Zero_Ratio=0.000, Phase=Retention
2025-08-25 11:01:06,873 - INFO - Step 5, Epoch 21: Retain=57.23, New=89.18, Forget=0.00, Combined=58.88, Balanced=73.21, Zero_Ratio=0.000, Phase=Retention
2025-08-25 11:02:31,163 - INFO - Step 5, Epoch 22: Retain=57.46, New=84.54, Forget=0.00, Combined=58.85, Balanced=71.00, Zero_Ratio=0.000, Phase=Retention
2025-08-25 11:03:58,546 - INFO - Step 5, Epoch 23: Retain=57.43, New=87.63, Forget=0.00, Combined=58.99, Balanced=72.53, Zero_Ratio=0.000, Phase=Retention
2025-08-25 11:05:23,771 - INFO - Step 5, Epoch 24: Retain=58.33, New=88.14, Forget=0.00, Combined=59.86, Balanced=73.24, Zero_Ratio=0.000, Phase=Retention
