step,epoch,train_loss,forget_acc,retain_acc,new_acc,overall_acc
3,7,4.3147,0.0000,59.5004,61.7066,59.9691
3,8,4.2880,0.0000,60.8195,61.9147,61.0522
3,9,4.2921,0.0000,61.6335,65.5567,62.4668
3,10,4.2699,0.0000,61.6615,66.0770,62.5995
3,11,4.2655,0.0000,60.2301,66.7014,61.6048
3,12,4.2808,0.0000,61.3247,65.9729,62.3121
3,13,4.2478,0.0000,60.6511,67.4298,62.0911
3,14,4.2309,0.0000,63.0368,63.9958,63.2405
3,15,4.2336,0.0000,61.7457,69.4069,63.3731
3,16,4.2181,0.0000,59.9495,71.3840,62.3784
3,17,4.2138,0.0000,60.6511,70.5515,62.7542
3,18,4.2098,0.0000,61.0160,71.3840,63.2184
3,19,4.2020,0.0000,62.1667,69.4069,63.7047
3,20,4.2041,0.0000,61.4931,70.2393,63.3510
3,21,4.1984,0.0000,59.8653,75.0260,63.0858
3,22,4.1869,0.0000,59.6408,73.1530,62.5111
3,23,4.1815,0.0000,61.4931,72.7367,63.8815
3,24,4.1963,0.0000,63.3455,73.0489,65.4067
3,25,4.1634,0.0000,61.9983,73.6733,64.4783
3,26,4.1590,0.0000,62.0264,73.8814,64.5447
3,27,4.1557,0.0000,63.1771,73.7773,65.4288
3,28,4.1526,0.0000,61.3247,73.6733,63.9478
3,29,4.1460,0.0000,62.3912,74.1935,64.8983
3,30,4.1518,0.0000,62.5316,73.1530,64.7878
3,31,4.1447,0.0000,62.0264,74.7138,64.7215
3,32,4.1215,0.0000,61.3528,74.9220,64.2352
3,33,4.1293,0.0000,63.6262,73.3611,65.6941
3,34,4.1227,0.0000,62.9245,74.8179,65.4509
3,35,4.1306,0.0000,62.4754,73.7773,64.8762
3,36,4.1071,0.0000,62.2509,73.9854,64.7436
3,37,4.1107,0.0000,63.2894,75.1301,65.8046
3,38,4.0933,0.0000,62.1667,75.0260,64.8983
3,39,4.1121,0.0000,62.8964,75.0260,65.4730
3,40,4.0942,0.0000,63.2052,75.8585,65.8930
3,41,4.1017,0.0000,62.8403,75.8585,65.6057
3,42,4.0896,0.0000,62.5035,75.2341,65.2078
3,43,4.0909,0.0000,62.7280,75.7544,65.4951
3,44,4.0826,0.0000,62.2790,76.1707,65.2299
3,45,4.0925,0.0000,63.3736,75.7544,66.0035
3,46,4.0734,0.0000,63.1771,76.7950,66.0698
3,47,4.0732,0.0000,61.8580,78.0437,65.2962
3,48,4.0868,0.0000,62.6158,78.1478,65.9151
3,49,4.0916,0.0000,63.1490,77.4194,66.1804
3,50,4.0726,0.0000,63.4016,76.8991,66.2688
4,0,-,46.3751,46.5116,0.0000,37.3791
4,1,4.9176,0.0000,58.8509,37.7380,54.7054
4,2,4.5541,0.0000,61.0123,45.6887,58.0035
4,3,4.4928,0.0000,62.2161,50.0560,59.8285
4,4,4.4510,0.0000,61.6689,53.5274,60.0704
4,5,4.4273,0.0000,61.9425,55.3191,60.6420
4,6,4.3958,0.0000,62.5171,58.7906,61.7854
4,7,4.3823,0.0000,60.5472,60.3583,60.5101
4,8,4.3634,0.0000,62.1888,57.4468,61.2577
4,9,4.3654,0.0000,61.4501,60.8063,61.3237
4,10,4.3380,0.0000,62.3529,61.8141,62.2471
4,11,4.3407,0.0000,60.0547,64.8376,60.9938
4,12,4.3212,0.0000,63.1190,61.4782,62.7968
4,13,4.3226,0.0000,61.8605,66.0694,62.6869
4,14,4.3046,0.0000,62.3803,66.0694,63.1047
4,15,4.3037,0.0000,62.6539,63.4938,62.8188
4,16,4.2993,0.0000,62.2161,67.5252,63.2586
4,17,4.2933,0.0000,61.8605,65.8455,62.6429
4,18,4.2849,0.0000,63.0096,68.0851,64.0062
4,19,4.2728,0.0000,63.1190,66.8533,63.8522
4,20,4.2662,0.0000,62.0793,66.6293,62.9727
4,21,4.2664,0.0000,62.5992,67.6372,63.5884
4,22,4.2405,0.0000,63.7483,68.8690,64.7537
4,23,4.2493,0.0000,63.0096,70.4367,64.4679
4,24,4.2367,0.0000,63.1190,68.4211,64.1601
4,25,4.2443,0.0000,62.7633,69.4289,64.0721
4,26,4.2265,0.0000,63.2285,69.6529,64.4899
4,27,4.2252,0.0000,63.5021,68.4211,64.4679
4,28,4.2345,0.0000,62.6813,70.4367,64.2040
4,29,4.2123,0.0000,61.9973,70.4367,63.6544
4,30,4.2064,0.0000,62.2435,70.8847,63.9402
4,31,4.2132,0.0000,62.5445,70.9966,64.2040
4,32,4.2036,0.0000,62.9549,70.1008,64.3580
4,33,4.1986,0.0000,63.9398,71.5566,65.4354
4,34,4.1916,0.0000,63.6936,70.8847,65.1055
4,35,4.1959,0.0000,62.4077,73.4602,64.5778
4,36,4.1902,0.0000,62.6265,72.3404,64.5339
4,37,4.1978,0.0000,64.1860,72.0045,65.7212
4,38,4.1703,0.0000,62.8728,73.3483,64.9296
4,39,4.1857,0.0000,62.9001,73.3483,64.9516
4,40,4.1717,0.0000,63.5568,72.9003,65.3914
4,41,4.1611,0.0000,62.9001,73.4602,64.9736
4,42,4.1724,0.0000,63.3105,73.3483,65.2814
4,43,4.1610,0.0000,63.9672,72.9003,65.7212
4,44,4.1737,0.0000,62.6265,72.3404,64.5339
4,45,4.1523,0.0000,64.4049,73.1243,66.1170
4,46,4.1593,0.0000,63.9945,73.1243,65.7872
4,47,4.1317,0.0000,62.7633,73.6842,64.9077
